site,location,land cover type,day of year,time of day,value,reference,remarks
example,London,built-up surface,10,13:00,0.1,[Kotthaus et al (2014)](https://www.sciencedirect.com/science/article/pii/S0924271614001233#),a sample concrete slab
US-Whs,Walnut Gulch Lucky Hills Shrub, shrubland, , ,0.22, [Hummel and Reck (1979)](https://journals.ametsoc.org/doi/pdf/10.1175/1520-0450%281979%2918%5B239%3AAGSAM%5D2.0.CO%3B2), Value for April-June for shrubland that receives no winter snow
